movie_id,predicted_revenue
11,453878378.5457314
14,139177910.4717715
16,58272722.846530855
19,377371941.59579957
33,122009631.84639518
62,98705677.89598835
73,123486723.11054003
90,140781316.6760342
107,50172486.93870111
114,126395454.02623756
115,84388863.37836333
116,67828521.9204801
137,92354182.1534652
142,70263728.42405953
146,67823726.82793036
154,60180857.23205748
184,72079394.39756988
214,47330791.48797833
227,61775382.91366325
240,72486025.4149244
319,111946194.80517793
327,46182870.45693599
387,71486011.01212916
400,84500365.60744962
454,82328113.73012203
489,68719540.04973857
492,86267822.4914085
578,99958931.81313933
586,84438056.35970184
601,172705107.90774518
613,57327608.43310241
663,90546708.2971865
687,90143494.46588342
691,105287895.66766259
744,125311735.96298572
771,170210606.77700293
796,56822448.0659061
801,85931061.73980954
844,54214714.133748874
860,84697330.55235185
864,87761137.49141528
873,161165208.30952558
907,76726633.7193975
927,102589349.66401316
947,88789559.15234499
1018,38771023.49904303
1090,78316177.56704105
1165,48551401.62815863
1245,89738000.49934411
1251,110656629.78260815
1255,48390725.22237537
1360,44024757.54395802
1440,72209696.48817307
1542,50641763.23590144
1562,61500314.80122936
1587,85453295.71809302
1588,61547360.92512977
1648,72595658.39309885
1817,59470677.07118866
1832,87140494.38066325
1913,38847475.479394555
1931,44796046.38814002
1948,32138621.80159489
1951,65437795.88401648
1954,38589270.79116069
1970,49698638.36186964
1988,99349909.03102994
2013,73560895.13549908
2105,61771896.17346008
2142,63132905.08102485
2266,69714487.5922922
2493,58285192.31087308
2604,96011586.79320611
3049,108510027.5252678
3175,54645964.85032169
3682,33787707.84442562
3877,66399133.27755385
4011,86227202.68251212
4911,39196037.10995096
4951,44205489.803081
4995,70307943.08192016
5172,56389477.0613949
5236,95451386.24120684
5876,64981536.0146004
6552,76010601.49458538
6615,61095245.91693308
6687,39342507.17146387
6961,60037439.58999158
7501,38983994.02091096
7510,53777123.20488382
7874,65349771.51382173
7942,41142092.12348932
8009,77873893.6367369
8053,41786651.62453141
8265,33988847.7285304
8291,94737502.42351836
8321,33773015.57913678
8386,61786053.33255819
8461,55726305.63141029
8854,54253129.20461633
8859,68615996.533799
8913,122562873.81531914
8922,35025474.676370285
8952,39580652.9153667
8975,41676970.67695191
9030,69145501.41370225
9100,63287215.73302442
9276,60285746.231238
9281,54235630.8084907
9289,61485816.63905007
9355,60468537.43585766
9357,59639319.11206053
9362,56837887.68187558
9424,34371798.98272135
9448,55192567.85940759
9455,76140816.17874743
9493,88501975.936729
9504,62848409.64684356
9515,44211819.240752995
9552,53322607.04151049
9557,44550808.8828044
9576,90248542.43420121
9614,57218484.2788494
9672,40914624.447760865
9762,46256550.61334822
9781,20725406.904989533
9794,40126331.732146665
9800,131452966.17747055
9816,43623067.46219861
9877,46694534.636181906
9902,28181790.665287904
9942,56629528.881729245
9950,42374613.185312316
9952,47854825.47292383
10029,89983646.20057091
10045,56901999.30890319
10053,80273964.64586468
10090,38158600.8461029
10131,58875065.62600643
10135,108372275.07141164
10136,94129865.77522965
10156,40504317.96256986
10163,60903891.780326255
10185,31444050.79263952
10186,70636888.94186436
10220,50125363.07547332
10229,37936645.24133493
10269,35188637.63617272
10314,32872261.17128395
10362,44029997.3851626
10368,32479989.653899945
10377,92488985.85020843
10414,66777344.009090446
10426,38256745.32873548
10490,29896350.73269335
10564,46872078.81456714
10611,39380220.590419136
10646,38924472.28560668
10691,53148901.85423557
10712,48409886.58808374
10876,52381063.04644539
10890,35581198.36525797
10944,65695523.47175804
10998,67282391.34848662
10999,62105585.12532414
11132,49983966.85192339
11153,43756115.67796178
11186,76405582.0802256
11202,49652778.10500749
11336,52097973.414086506
11397,70570635.60461225
11442,47803187.710424
11470,45502968.61745145
11478,47703230.45823749
11495,33811635.70371352
11507,54338424.70293543
11545,66464681.99644998
11586,38078348.07881604
11592,54133849.01000234
11601,57191718.28699154
11778,73796843.89166164
11804,28569731.71100132
11870,56220968.50150535
11873,37103933.61397922
11917,63553533.228886545
11967,95028353.8104846
12088,38356344.52588609
12094,42426550.106254496
12120,61005512.674294084
12144,92014920.43568122
12149,44590179.994004466
12158,54880879.68252336
12162,45684540.10646218
12182,52289179.04321862
12211,62887269.259753026
12212,87230350.48480771
12227,64958687.658725336
12257,69545717.2306176
12403,33717602.07004567
12405,53433859.714732416
12657,45917832.654415265
12837,63939250.58632172
13067,32734114.964776635
13335,51328813.05037482
13435,58980325.35929058
13501,51921967.733094655
13812,62463645.18396059
13888,52709406.50208241
13937,88539680.6570534
13938,12657806.67580175
13950,39041614.57245097
14012,46689307.436959535
14024,38426682.44504051
14047,70153817.98791684
14191,47772113.76851709
14283,34485015.35198868
14369,63699111.92380595
14395,30282630.624534674
14434,65303433.734654576
14435,52808411.800857775
14574,73777353.43717155
14729,46686281.430483304
14736,45226172.82976906
14799,45394067.23964409
15037,57423702.89819747
15301,50980338.05297469
16222,62140284.69506415
16353,44387960.38168718
16406,58634768.22873017
16769,51683068.83699991
16781,40494761.84691594
16888,54888109.033709124
17127,43164814.07954523
17130,43937929.41644644
17202,36273017.897626676
17708,45077009.35310475
17880,36273017.897626676
17917,61683956.9960005
18041,31761800.993354004
18405,64463967.73403009
18475,44017103.627328806
18736,49932766.523576505
18777,35872649.1503642
19084,26908941.416592095
19265,52743697.88595481
19405,45077009.35310475
19994,63996769.69770148
20009,53694266.92070313
20616,43283256.78623416
21345,47858631.00471975
21612,52409136.9599081
22345,45167290.89523862
22556,43424572.77615262
22798,35417181.28808022
22804,80414616.14646344
22824,61497472.4529286
23631,56772635.40694722
23706,48382307.33143603
23759,40830969.90302354
24137,42169920.18773364
24150,71910833.12097691
24206,21922028.309499342
24227,45642577.26178747
24940,40481400.55433261
25166,52141426.03858201
25704,57341359.57046235
26352,73003327.82168049
26688,60051106.04664059
28178,38586098.29308139
28211,42708958.53064937
28932,14118329.25040943
30973,34205451.03957975
31246,41779410.66984153
31668,23747276.716093138
31909,65550822.98448943
31915,49129958.03752164
33196,52510164.91679233
33217,69895073.60662927
34549,45077009.35310475
34563,41124601.95024176
34647,66784076.345335886
36047,45175363.35055423
36691,63773893.54088981
36819,58635444.469185755
37003,50544520.80936226
37931,55795363.41841178
38448,47761297.71768836
41823,99980456.2319563
42188,61737558.65753488
42345,60654188.18354082
42684,42564459.994369596
43949,70721878.15240829
44040,53926639.17724729
44214,44266360.44362224
44754,18924021.619078938
45269,39515288.62471982
45272,65983792.52667282
45317,74293159.95312521
45324,32384406.965918034
46889,64945183.99149088
47502,67492844.38197154
50601,38491126.44526724
51828,77305089.4034714
53457,56585885.592660815
54518,58563009.81708675
56601,34501398.27405024
57157,60922891.7613649
57214,67352033.74690056
58680,53694266.92070313
59678,80505679.63463372
60599,40907182.00504441
61752,47554279.06315068
61984,17458001.481967356
62204,57847815.744247824
63020,59330165.58897419
64689,68010192.16284078
64690,35432927.128620856
65086,72739973.03395998
67660,70840821.01200496
68727,68541898.35921364
70829,23672064.982213862
71688,48148069.80176918
73247,48286359.79688849
74534,50021066.049630664
75674,84609865.33022243
75900,42563005.40743033
76726,86406400.82179911
77016,58894116.789378636
79777,61092038.81461366
82679,57613855.90854908
84892,76429532.08417341
86825,76893630.39546967
86829,62883477.48860405
86838,78623475.99770539
87093,89880457.30516939
87729,65276595.52988612
87818,95447307.29948543
88005,59496560.56298228
88036,52554010.14709783
88641,45924883.876983725
96399,62973933.551810734
97367,71034545.40318374
97370,40673161.88949757
97430,90759844.20562427
101267,105996599.48752503
103731,81379859.51705286
107811,57916171.40947831
121826,59079232.1763137
126319,88261525.68904251
129670,73620767.16007315
132232,112532364.20579913
133694,53621185.45265161
134411,75547924.84487534
136835,82039464.87237649
144340,60177962.56270108
152599,113523759.52270523
157544,44973790.600215085
157849,48915873.544514425
158011,70045275.82919064
167073,52610648.90536433
172391,33172032.647230234
173931,9431008.516674556
179144,56305885.72514232
205220,60768971.59696778
205596,73070110.29076257
208134,63631432.7159868
209403,73297002.72488524
222899,61159981.66715757
222935,115164598.9359623
227719,108080657.5950378
228970,87154083.65181105
232679,65590822.22127817
236751,84492564.52630274
238603,102250432.23001198
239563,105008493.60434559
243938,82610987.51320714
249164,66745659.172306195
253331,57840072.33111712
253450,89054803.46634969
254904,77306623.57220224
256924,54834442.15774939
264644,92695828.30807877
264656,86227636.36219674
264660,82305536.844406
264999,63605870.20525945
266856,60339567.10704126
268238,36875719.06924572
280092,64380305.113381915
283445,50992325.469156496
286565,87743749.88139975
287903,91406334.87327528
291870,54753035.16746117
294272,152271536.76261312
304357,79625983.84423296
316727,62312742.85200503
321258,63779199.677146964
328425,54386873.698597156
332567,91412959.77361917
339984,73366610.24012056
342521,68660760.2065524
